2024-12-04 at 20:46:42 | DEBUG | 这是一个调试消息
2024-12-04 at 20:46:42 | DEBUG | 这是一个调试消息
2024-12-04 at 20:46:42 | INFO | 这是一个信息消息
2024-12-04 at 20:46:42 | INFO | 这是一个信息消息
2024-12-04 at 20:46:42 | WARNING | 这是一个警告消息
2024-12-04 at 20:46:42 | WARNING | 这是一个警告消息
2024-12-04 at 20:46:42 | ERROR | 这是一个错误消息
2024-12-04 at 20:46:42 | ERROR | 这是一个错误消息
2024-12-04 at 20:46:42 | CRITICAL | 这是一个严重错误消息
2024-12-04 at 20:46:42 | CRITICAL | 这是一个严重错误消息
2024-12-04 20:47:37.529 | DEBUG    | __main__:debug:29 - 这是一个调试消息
2024-12-04 20:47:37.529 | DEBUG    | __main__:debug:29 - 这是一个调试消息
2024-12-04 20:47:37.530 | INFO     | __main__:info:33 - 这是一个信息消息
2024-12-04 20:47:37.530 | INFO     | __main__:info:33 - 这是一个信息消息
2024-12-04 20:47:37.530 | WARNING  | __main__:warning:37 - 这是一个警告消息
2024-12-04 20:47:37.530 | WARNING  | __main__:warning:37 - 这是一个警告消息
2024-12-04 20:47:37.531 | ERROR    | __main__:error:41 - 这是一个错误消息
2024-12-04 20:47:37.531 | ERROR    | __main__:error:41 - 这是一个错误消息
2024-12-04 20:47:37.531 | CRITICAL | __main__:critical:45 - 这是一个严重错误消息
2024-12-04 20:47:37.531 | CRITICAL | __main__:critical:45 - 这是一个严重错误消息
